;;Regressie variabelen:;;nu bereken we nieuwe y;
;;a;b;gegeven y=ax+b;
;;0.016634467;-0.04378714;;
;pages;size (cm);;x;new_y
0;197;3.281290102;;197;3.233202897
1;165;3.116782524;;165;2.700899947
2;174;2.750034293;;174;2.850610151
3;102;1.686150624;;102;1.652928514
4;152;2.906727845;;152;2.484651873
5;124;2.159308584;;124;2.018886792
6;121;1.77234508;;121;1.96898339
7;186;2.570443686;;186;3.050223758
8;136;2.263470928;;136;2.218500398
9;133;2.13803248;;133;2.168596997
10;181;3.143138537;;181;2.967051422
11;110;1.600113003;;110;1.786004251
12;103;1.632469865;;103;1.669562981
13;121;1.557133322;;121;1.96898339
14;147;2.954861318;;147;2.401479537
15;142;2.339694269;;142;2.318307201
16;138;2.417319549;;138;2.251769332
17;137;1.954949238;;137;2.235134865
18;183;2.584701789;;183;3.000320356
19;127;2.185921209;;127;2.068790193
